1240 茂生農經 51.30 +0.30 51.10 51.40 51.10 51.23 12194 624738 17 51.20 3 51.50 1 39370158 51.30 56.40 46.20
1259 安心 74.50 +0.80 74.20 74.70 74.20 74.47 21202 1579005 21 74.30 1 74.50 3 32389500 74.50 81.90 67.10
1264 德麥 300.00 "0.00 " 300.00 300.00 300.00 300.37 4974 1494042 168 300.00 2 300.50 1 37064367 300.00 330.00 270.00
1268 漢來美食 149.00 +1.00 148.50 149.50 148.50 149.12 25187 3755799 46 149.00 6 149.50 4 42223730 149.00 163.50 134.50
1336 台翰 19.30 +0.10 19.50 19.50 19.30 19.40 31152 604430 27 19.25 3 19.30 1 78818419 19.30 21.20 17.40
1565 精華 183.50 +2.00 182.00 184.50 182.00 183.27 56119 10284989 125 183.50 1 184.00 1 50416516 183.50 201.50 165.50
1569 濱川 23.50 +0.10 23.80 23.80 23.45 23.53 44000 1035150 35 23.45 3 23.50 1 121447441 23.50 25.85 21.15
1570 力肯 25.05 +0.55 24.60 25.70 24.40 24.95 566462 14133313 413 25.05 12 25.20 3 51500839 25.05 27.55 22.55
1580 新麥 153.00 +1.50 151.50 153.50 151.50 152.75 41936 6405865 109 152.50 3 153.00 3 50230242 153.00 168.00 138.00
1584 精剛 34.70 +0.15 34.65 35.00 34.30 34.55 1827953 63147352 1285 34.70 18 34.75 1 192470533 34.70 38.15 31.25
1586 和勤 31.70 "-0.15 " 31.95 32.00 31.65 31.80 53456 1699947 69 31.65 2 31.70 2 86312302 31.70 34.85 28.55
1591 駿吉-KY 62.00 +1.20 61.90 63.60 61.90 62.73 453044 28421183 325 61.90 2 62.20 4 34798047 62.00 68.20 55.80
1593 祺驊 46.00 +2.20 43.90 46.00 43.90 45.23 13101 592529 15 46.00 4 46.05 2 39784772 46.00 50.60 41.40
1595 川寶 34.80 +0.40 34.80 34.85 34.80 34.82 16015 557575 15 34.65 1 34.70 1 47875384 34.80 38.25 31.35
1599 宏佳騰 31.45 "0.00 " 31.50 31.50 31.30 31.44 27205 855446 208 31.35 6 31.55 3 74528764 31.45 34.55 28.35
1742 台蠟 18.25 +0.60 17.65 18.35 17.55 18.00 567620 10219976 379 18.20 12 18.25 1 93559300 18.25 20.05 16.45
1777 生泰 82.30 +0.30 82.20 82.30 82.20 82.24 4303 353873 11 82.20 1 82.40 1 44591713 82.30 90.50 74.10
1781 合世 15.70 "0.00 " 15.75 15.75 15.55 15.65 79242 1240158 67 15.55 13 15.70 1 47407605 15.70 17.25 14.15
1784 訊聯 64.10 +3.30 61.00 65.80 60.90 63.93 1136988 72691787 1079 64.10 4 64.50 1 49626924 64.10 70.50 57.70
1785 光洋科 44.15 "-0.05 " 45.00 45.30 43.90 44.32 2602412 115338254 1980 44.15 52 44.20 7 596270243 44.15 48.55 39.75
1788 杏昌 139.50 +0.50 139.50 140.00 139.50 139.56 11979 1671759 85 139.50 4 140.00 14 44520971 139.50 153.00 126.00
1796 金穎生技 55.10 +0.20 55.20 55.20 54.50 54.90 45177 2480401 39 55.00 1 55.20 6 41459793 55.10 60.60 49.60
1799 易威 68.00 +3.50 64.20 70.00 64.20 67.05 179734 12051873 139 68.00 4 68.50 1 121865775 68.00 74.80 61.20
1813 寶利徠 20.15 +0.05 20.30 20.30 20.15 20.20 13435 271343 57 20.10 1 20.20 5 46635510 20.15 22.15 18.15
1815 富喬 17.15 +0.25 17.10 17.35 16.90 17.10 5690534 97323246 1954 17.15 33 17.20 59 459021036 17.15 18.85 15.45
2035 唐榮 33.00 +0.10 33.10 33.10 32.80 32.96 17605 580276 436 32.95 3 33.00 2 350000000 33.00 36.30 29.70
2061 風青 20.50 "-1.55 " 22.25 22.75 20.00 21.08 1592207 33569905 1035 20.45 12 20.50 24 47108290 20.50 22.55 18.45
2063 世鎧 56.10 +0.40 56.00 57.80 56.00 57.15 178203 10184720 267 56.20 2 56.50 1 49601453 56.10 61.70 50.50
2064 晉椿 15.00 "-0.10 " 15.30 15.35 15.00 15.11 61100 923065 36 14.95 7 15.05 1 69630000 15.00 16.50 13.50
2065 世豐 61.90 +0.10 61.80 62.50 61.80 62.00 55788 3458704 167 61.90 10 62.00 1 56883837 61.90 68.00 55.80
2066 世德 124.50 +3.00 121.50 124.50 121.50 122.93 239040 29386104 224 124.00 9 124.50 19 42209514 124.50 136.50 112.50
2067 嘉鋼 12.10 "-0.35 " 12.10 12.35 12.10 12.12 27000 327200 8 12.10 1 12.25 2 45138177 12.10 13.30 10.90
2070 精湛 31.20 "-0.05 " 31.70 31.75 31.20 31.39 47073 1477714 43 31.20 3 31.25 1 35782800 31.20 34.30 28.10
2073 雄順 29.95 "0.00 " 30.00 30.95 29.95 30.03 17000 510500 11 29.95 23 30.00 8 27500000 29.95 32.90 27.00
2221 大甲 32.45 "-0.45 " 32.80 32.85 32.40 32.63 70279 2293543 71 32.45 1 32.50 1 42325000 32.45 35.65 29.25
2230 泰茂 155.00 "0.00 " 157.50 159.00 155.00 156.56 316090 49486928 287 155.00 16 156.00 2 51123670 155.00 170.50 139.50
2235 謚源 46.95 +0.25 47.00 47.00 46.95 46.98 2000 93950 2 46.60 2 48.00 3 35878000 46.95 51.60 42.30
2596 綠意 36.85 +1.15 36.15 36.90 35.35 36.27 288958 10481784 233 36.80 1 36.85 12 100000000 36.85 40.50 33.20
2640 大車隊 121.00 +1.00 120.00 121.00 119.50 120.16 33644 4042537 61 119.50 6 121.00 1 59264956 121.00 133.00 109.00
