1240 茂生農經 49.75 "-0.05 " 50.40 50.40 49.75 50.02 53441 2673255 47 49.75 1 49.95 1 39370158 49.75 54.70 44.80
1259 安心 74.90 "-0.70 " 75.00 75.50 74.50 75.04 34780 2609953 91 74.80 1 75.10 1 32389500 74.90 82.30 67.50
1264 德麥 299.50 "0.00 " 299.50 300.00 299.50 299.84 9279 2782172 131 299.00 1 300.00 4 37064367 299.50 329.00 270.00
1268 漢來美食 150.00 "-4.50 " 150.00 151.50 148.50 150.30 281785 42351466 402 150.00 21 150.50 2 42223730 150.00 165.00 135.00
1336 台翰 22.40 +0.10 22.30 22.50 22.10 22.31 112384 2507071 103 22.35 1 22.40 4 78818419 22.40 24.60 20.20
1565 精華 202.50 +2.50 201.00 202.50 200.00 201.11 101474 20407468 396 202.00 2 203.00 10 50416516 202.50 222.50 182.50
1569 濱川 25.15 +0.15 24.95 25.25 24.80 25.03 629998 15768704 386 25.15 4 25.20 13 121447441 25.15 27.65 22.65
1570 力肯 25.40 +0.40 25.35 25.80 25.00 25.53 366375 9354592 254 25.40 14 25.45 10 51500839 25.40 27.90 22.90
1580 新麥 154.00 +1.00 153.50 154.00 153.00 153.47 83540 12820700 172 153.50 2 154.00 18 50230242 154.00 169.00 139.00
1584 精剛 34.60 +1.35 34.30 35.10 34.05 34.59 5804701 200757201 3518 34.60 33 34.65 32 192470533 34.60 38.05 31.15
1586 和勤 32.80 "0.00 " 32.85 33.10 32.60 32.82 110264 3618702 105 32.75 4 32.80 3 86312302 32.80 36.05 29.55
1591 駿吉-KY 65.50 +1.90 63.60 65.80 63.20 64.60 1499111 96838378 1045 65.40 2 65.60 9 34798047 65.50 72.00 59.00
1593 祺驊 52.00 "0.00 " 52.10 52.10 52.00 52.09 19199 1000146 13 52.00 4 52.10 1 39784772 52.00 57.20 46.80
1595 川寶 35.85 "-0.05 " 35.85 35.85 35.85 35.85 9094 326054 22 35.90 2 35.95 1 47786134 35.85 39.40 32.30
1599 宏佳騰 34.90 +0.20 34.85 35.00 34.80 34.93 51975 1815306 247 34.85 2 34.95 1 74528764 34.90 38.35 31.45
1742 台蠟 16.70 "0.00 " 16.70 16.80 16.70 16.71 66022 1103122 57 16.70 7 16.75 5 93559300 16.70 18.35 15.05
1777 生泰 82.40 +0.40 82.50 82.50 82.30 82.43 6221 512825 16 82.30 3 82.50 3 44591713 82.40 90.60 74.20
1781 合世 17.20 +0.30 16.85 17.30 16.85 17.15 154083 2643159 145 17.15 1 17.20 27 47407605 17.20 18.90 15.50
1784 訊聯 62.00 "-0.90 " 62.90 63.20 62.00 62.41 194231 12122634 432 62.00 14 62.30 2 49626924 62.00 68.20 55.80
1785 光洋科 43.90 "-0.35 " 44.50 44.50 43.75 44.04 3116897 137274226 2449 43.85 29 43.95 32 596443243 43.90 48.25 39.55
1788 杏昌 140.00 +1.00 138.00 140.00 138.00 139.19 34308 4775415 116 139.00 3 139.50 1 44520971 140.00 154.00 126.00
1796 金穎生技 60.30 +0.40 60.10 60.90 60.00 60.37 28076 1694932 54 60.20 2 60.30 5 41459793 60.30 66.30 54.30
1799 易威 54.80 +0.20 52.50 55.00 52.20 54.10 415409 22475233 427 54.80 2 54.90 1 121865775 54.80 60.20 49.35
1813 寶利徠 19.90 "-0.05 " 19.95 20.00 19.85 19.94 66833 1332359 418 19.90 8 19.95 3 46635510 19.90 21.85 17.95
1815 富喬 18.55 "-0.55 " 19.20 19.25 18.50 18.78 29437993 552953742 10037 18.55 374 18.60 16 459021036 18.55 20.40 16.70
