證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","11001040","1336572588","121.75","121.90","121.20","121.45","-0.7500","13372"
"0051","元大中型100","46477","2668176","57.50","57.60","57.05","57.05","-0.3500","196"
"0052","富邦科技","157190","17219531","109.90","109.90","109.10","109.30","-0.8000","424"
"0053","元大電子","6729","408863","60.80","61.20","60.80","61.20","-0.1000","1012"
"0055","元大MSCI金融","339439","7392226","21.83","21.88","21.72","21.84","0.0100","347"
"0056","元大高股息","25965592","734417131","28.26","28.37","28.20","28.31","0.0500","17696"
"0057","富邦摩台","7137","628652","88.25","88.30","88.20","88.30","-0.4500","1005"
"0061","元大寶滬深","205692","3922532","19.08","19.16","19.00","19.00","-0.1400","1039"
"006203","元大MSCI台灣","4306","251835","58.35","58.75","58.35","58.75","-0.1500","961"
"006204","永豐臺灣加權","122276","9709420","79.75","79.75","79.30","79.50","-0.3000","1030"
"006205","富邦上証","1577987","49836616","31.94","31.94","31.48","31.58","-0.3300","521"
"006206","元大上證50","536479","16082269","30.25","30.25","29.90","30.00","-0.2900","1117"
"006207","FH滬深","273055","6809968","25.28","25.28","24.83","24.92","-0.1700","1023"
"006208","富邦台50","3971247","279130499","70.50","70.50","70.00","70.20","-0.4500","6509"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2385627","279105698","117.35","117.85","116.40","116.90","-1.4000","1912"
"00632R","元大台灣50反1","107885143","563931657","5.22","5.24","5.21","5.24","0.0400","4263"
"00633L","富邦上証正2","7324885","278789996","38.77","38.77","37.69","38.00","-0.5700","2059"
"00634R","富邦上証反1","281000","1258020","4.44","4.50","4.44","4.49","0.0600","27"
"00635U","期元大S&P黃金","415288","10411259","25.05","25.12","25.04","25.05","-0.2100","222"
"00636","國泰中國A50","1586553","33837218","21.56","21.56","21.24","21.32","-0.3000","659"
"00636K","國泰中國A50+U","200","1404","7.02","7.02","7.02","7.02","-0.0900","2"
"00637L","元大滬深300正2","77963735","1167630777","15.17","15.25","14.85","14.96","-0.2300","9148"
"00638R","元大滬深300反1","961000","9087790","9.36","9.48","9.36","9.44","0.0700","50"
"00639","富邦深100","1022928","13211492","13.00","13.08","12.88","12.95","-0.0500","1112"
"00640L","富邦日本正2","176000","5038090","28.57","28.77","28.52","28.71","0.2300","53"
"00641R","富邦日本反1","318000","3013820","9.50","9.50","9.46","9.49","-0.0300","46"
"00642U","期元大S&P石油","4001401","58497887","14.68","14.68","14.58","14.66","-0.0700","964"
"00643","群益深証中小","560322","8455887","15.18","15.25","15.01","15.10","-0.0800","69"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","58713","1533186","26.11","26.19","26.09","26.15","0.1000","959"
"00646","元大S&P500","791265","29725190","37.54","37.62","37.51","37.60","0.2800","685"
"00647L","元大S&P500正2","599800","31347011","52.15","52.55","52.10","52.35","0.8500","149"
"00648R","元大S&P500反1","1540124","11208360","7.28","7.29","7.26","7.26","-0.0700","162"
"00650L","FH香港正2","15509901","202239427","13.41","13.41","12.78","13.11","-0.3000","2447"
"00651R","FH香港反1","539000","4546800","8.20","8.54","8.20","8.43","0.1000","118"
"00652","富邦印度","346779","9660167","27.83","27.95","27.76","27.86","0.0300","1159"
"00653L","富邦印度正2","278017","10776678","38.70","39.04","38.50","38.82","-0.0800","224"
"00654R","富邦印度反1","90000","757310","8.44","8.44","8.40","8.44","0.0300","15"
"00655L","國泰中國A50正2","3276195","88165669","27.33","27.39","26.64","26.90","-0.4100","793"
"00656R","國泰中國A50反1","167000","1409100","8.43","8.47","8.43","8.44","0.0700","16"
"00657","國泰日經225","107977","3540190","32.66","32.80","32.66","32.80","0.1400","976"
"00657K","國泰日經225+U","200","2158","10.79","10.79","10.79","10.79","0.0600","2"
"00660","元大歐洲50","26089","790236","30.83","30.83","30.26","30.35","-0.1400","942"
"00661","元大日經225","20082","697909","34.80","34.94","34.74","34.94","0.1000","977"
"00662","富邦NASDAQ","1444966","72531321","50.00","50.30","50.00","50.25","0.3600","882"
"00663L","國泰臺灣加權正2","11005","1186344","108.15","108.20","107.30","107.85","-1.0000","11"
"00664R","國泰臺灣加權反1","2787600","16441264","5.89","5.92","5.88","5.91","0.0300","235"
"00665L","富邦恒生國企正2","51115818","413911969","8.41","8.41","7.92","8.14","-0.2600","5104"
"00666R","富邦恒生國企反1","466000","6860390","14.54","14.85","14.48","14.65","0.2500","74"
"00668","國泰美國道瓊","82258","2937576","35.71","35.79","35.70","35.74","0.2500","837"
"00668K","國泰美國道瓊+U","200","2352","11.76","11.76","11.76","11.76","0.0900","2"
"00669R","國泰美國道瓊反1","9413900","77429516","8.23","8.24","8.21","8.22","-0.0500","340"
"00670L","富邦NASDAQ正2","1577416","100959058","63.90","64.30","63.80","64.20","0.7000","706"
