"113年08月07日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","24,156.16","+","926.10","3.99","",
"發行量加權股價指數","21,295.28","+","794.26","3.87","",
"臺灣公司治理100指數","12,489.88","+","436.62","3.62","",
"臺灣50指數","17,362.12","+","633.68","3.79","",
"臺灣50權重上限30%指數","15,159.23","+","495.99","3.38","",
"臺灣中型100指數","18,732.14","+","780.66","4.35","",
"臺灣資訊科技指數","34,215.99","+","1,477.62","4.51","",
"臺灣發達指數","9,840.53","+","238.05","2.48","",
"臺灣高股息指數","9,166.21","+","328.40","3.72","",
"臺灣就業99指數","12,809.14","+","393.12","3.17","",
"臺灣高薪100指數","11,213.27","+","339.63","3.12","",
"未含金融指數","18,566.24","+","736.06","4.13","",
"未含電子指數","19,564.26","+","524.69","2.76","",
"未含金融電子指數","15,299.49","+","480.34","3.24","",
"小型股300指數","11,171.18","+","507.01","4.75","",
"水泥窯製類指數","601.75","+","4.42","0.74","",
"塑膠化工類指數","718.81","+","18.20","2.60","",
"機電類指數","6,320.09","+","269.44","4.45","",
"水泥類指數","159.09","+","0.30","0.19","",
"食品類指數","2,200.41","+","22.19","1.02","",
"塑膠類指數","162.19","+","1.50","0.93","",
"紡織纖維類指數","629.04","+","15.01","2.44","",
"電機機械類指數","376.79","+","21.11","5.94","",
"電器電纜類指數","109.37","+","6.48","6.30","",
"化學生技醫療類指數","137.48","+","5.66","4.29","",
"化學類指數","162.17","+","6.01","3.85","",
"生技醫療類指數","77.58","+","3.41","4.60","",
"玻璃陶瓷類指數","46.03","+","2.19","5.00","",
"造紙類指數","312.58","+","11.08","3.67","",
"鋼鐵類指數","132.71","+","3.32","2.57","",
"橡膠類指數","277.48","+","7.94","2.95","",
"汽車類指數","374.39","+","9.58","2.63","",
"電子工業類指數","1,131.63","+","47.75","4.41","",
"半導體類指數","570.22","+","25.68","4.72","",
"電腦及週邊設備類指數","244.53","+","12.00","5.16","",
"光電類指數","39.52","+","1.77","4.69","",
"通信網路類指數","152.17","+","2.12","1.41","",
"電子零組件類指數","221.06","+","9.47","4.48","",
"電子通路類指數","253.40","+","10.89","4.49","",
"資訊服務類指數","186.90","+","9.46","5.33","",
"其他電子類指數","153.75","+","3.95","2.64","",
"建材營造類指數","615.88","+","35.08","6.04","",
"航運類指數","177.15","+","8.42","4.99","",
"觀光餐旅類指數","119.87","+","3.95","3.41","",
"金融保險類指數","1,978.69","+","35.37","1.82","",
"貿易百貨類指數","302.84","+","3.97","1.33","",
"油電燃氣類指數","87.79","-","0.94","-1.06","",
"綠能環保類指數","117.62","+","5.22","4.64","",
"數位雲端類指數","65.71","+","1.52","2.37","",
"運動休閒類指數","92.90","+","3.37","3.76","",
"居家生活類指數","119.36","+","4.48","3.90","",
"其他類指數","363.19","+","12.70","3.62","",
"臺指日報酬兩倍指數","54,257.83","+","3,901.83","7.75","",
"臺指反向一倍指數","3,070.44","-","123.75","-3.87","",
"電子類兩倍槓桿指數","65,387.15","+","5,294.71","8.81","",
"電子類反向指數","2,357.66","-","108.65","-4.41","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,185.06","+","192.29","4.82","",
"臺灣中小型公司治理指數","9,649.02","+","452.31","4.92","",
"臺灣IPO指數","5,055.15","+","229.13","4.75","",
"智慧中立指數","3,864.04","-","47.64","-1.22","",
"臺灣5G指數","10,621.89","+","396.70","3.88","",
"臺灣企業社會責任中小型指數","11,397.25","+","453.09","4.14","",
"特選臺灣電動車代表指數","9,609.87","+","322.09","3.47","",
"臺灣5G+通訊指數","9,200.33","+","348.21","3.93","",
"臺灣全市場指數","7,360.55","+","287.76","4.07","",
"臺灣全市場半導體指數","7,161.62","+","341.41","5.01","",
"臺灣智慧移動與電動車指數","5,441.38","+","207.68","3.97","",
"特選小資高價30指數","7,232.55","+","362.11","5.27","",
"特選臺灣綠能及電動車指數","5,775.94","+","202.48","3.63","",
"特選臺灣智能車供應鏈聯盟指數","6,630.16","+","276.30","4.35","",
"臺灣全市場半導體精選30指數","5,655.54","+","262.85","4.87","",
"特選臺灣高股息30指數","5,140.56","+","108.93","2.16","",
"臺灣友善環境指數","6,422.83","+","228.89","3.70","",
"台灣永續價值指數","5,947.69","+","182.96","3.17","",
"特選臺灣IC設計指數","3,923.66","+","212.67","5.73","",
"特選臺灣環境永續高股息指數","6,840.99","+","275.52","4.20","",
"臺灣友善環境50指數","5,398.29","+","176.88","3.39","",
"特選臺灣IC設計產業代表指數","5,151.91","+","286.15","5.88","",
"特選臺灣綠能指數","5,475.55","+","217.30","4.13","",
"特選臺灣智慧50指數","4,985.55","+","170.33","3.54","",
"臺灣晶圓製造指數","5,923.87","+","222.26","3.90","",
"臺灣精選高息指數","5,168.04","+","178.06","3.57","",
"臺灣多因子優選高股息30指數","8,413.57","+","183.46","2.23","",
"特選臺灣優利高填息30指數","6,915.43","+","234.57","3.51","",
"特選臺灣科技優息指數","8,673.14","+","278.04","3.31","",
"臺灣半導體收益指數","6,529.64","+","265.98","4.25","",
"臺灣優選成長高股息指數","7,531.15","+","294.52","4.07","",
"特選臺灣ESG低碳高息40指數","8,065.82","+","216.12","2.75","",
"臺灣優選多因子30指數","8,188.87","+","160.86","2.00","",
"臺灣創新科技50指數","6,960.15","+","333.25","5.03","",
"臺灣全市場新經濟產業指數","4,854.19","+","175.07","3.74","",
"臺灣ESG永續高股息等權重指數","6,064.55","+","261.02","4.50","",
"臺灣永續高息中小型指數","5,773.71","+","172.95","3.09","",
"特選臺灣高息優質成長指數","5,969.78","+","188.82","3.27","",
"特選臺灣高息動能指數","6,276.58","+","152.62","2.49","",
"臺灣電子成長高息等權重指數","5,427.53","+","276.28","5.36","",
"特選臺灣優利成長指數","5,134.42","+","190.39","3.85","",
"臺灣價值高息指數","5,359.57","+","199.64","3.87","",
"特選臺灣IC設計動能指數","4,532.68","+","209.63","4.85","",
"臺灣科技高股息指數","5,424.49","+","201.54","3.86","",
"臺灣趨勢動能高股息指數","5,540.26","+","194.61","3.64","",
"特選臺灣科技高息成長指數","5,266.79","+","184.97","3.64","",
"特選臺灣AI優息動能指數","4,540.83","+","205.79","4.75","",
"臺灣優選AI 50指數","4,625.24","+","195.42","4.41","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","41,967.22","+","1,474.02","3.64","",
"金融類日報酬反向一倍指數","3,745.27","-","69.43","-1.82","",
"漲升股利150指數","9,710.59","+","309.51","3.29","",
"藍籌30指數","10,012.58","+","391.07","4.06","",
"工業菁英30指數","10,622.53","+","403.63","3.95","",
"低波動股利精選30指數","8,111.00","+","96.23","1.20","",
"中小型A級動能50指數","22,657.45","+","1,339.61","6.28","",
"特選高息低波指數","10,059.49","+","221.45","2.25","",
"臺灣永續指數","11,091.07","+","370.15","3.45","",
"價值投資指數","7,743.08","+","355.51","4.81","",
"存股雙十等權重指數","8,964.33","+","423.40","4.96","",
"特選大蘋果指數","10,665.34","+","350.55","3.40","",
"中小型300指數","11,334.30","+","482.60","4.45","",
"臺灣500指數","10,793.29","+","389.35","3.74","",
"臺灣勞工權益指數","9,174.93","+","261.96","2.94","",
"微波高息精選20指數","8,287.91","+","177.37","2.19","",
"特選世代行動通訊指數","8,148.22","+","364.12","4.68","",
"智慧投資多因子30指數","7,572.18","+","62.94","0.84","",
"臺股期貨指數","11,534.84","+","388.12","3.48","",
"特選價值成長指數","9,579.81","+","409.99","4.47","",
"臺灣上櫃永續指數","7,419.71","+","352.08","4.98","",
"特選台股領航指數","10,360.54","+","377.64","3.78","",
"特選Smart多因子指數","8,453.10","+","329.25","4.05","",
"特選ESG高股息指數","6,497.11","+","275.94","4.44","",
"特選上櫃ESG成長指數","5,426.02","+","250.47","4.84","",
"特選上櫃ESG電子菁英指數","5,474.95","+","254.47","4.87","",
"臺灣優息存股指數","5,117.15","+","127.04","2.55","",
"特選上櫃ESG永續高股息指數","7,323.20","+","266.27","3.77","",
"特選臺灣金融高股息存股指數","6,423.03","+","114.28","1.81","",
"特選臺灣產業龍頭存股等權重指數","6,680.44","+","205.05","3.17","",
"上櫃ESG 30指數","6,310.06","+","302.05","5.03","",
"臺灣ESG低碳50指數","7,252.24","+","266.09","3.81","",
"臺灣創新板指數","6,045.92","+","188.04","3.21","",
"特選上櫃ESG龍頭指數","6,146.26","+","228.93","3.87","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","35,709.00","+","1,369.75","3.99","",
"發行量加權股價報酬指數","46,789.33","+","1,745.89","3.88","",
"臺灣公司治理100報酬指數","18,158.64","+","634.80","3.62","",
"臺灣50報酬指數","38,362.07","+","1,400.14","3.79","",
"臺灣50權重上限30%報酬指數","34,157.36","+","1,117.57","3.38","",
"臺灣中型100報酬指數","38,584.93","+","1,608.04","4.35","",
"臺灣資訊科技股報酬指數","70,747.79","+","3,055.25","4.51","",
"臺灣發達報酬指數","20,384.68","+","493.13","2.48","",
"臺灣高股息報酬指數","27,442.20","+","983.20","3.72","",
"臺灣就業99報酬指數","21,246.05","+","652.07","3.17","",
"臺灣高薪100報酬指數","17,935.77","+","543.23","3.12","",
"未含金融電子報酬指數","34,929.26","+","1,098.55","3.25","",
"小型股300報酬指數","15,726.05","+","715.40","4.77","",
"水泥類報酬指數","337.21","+","0.63","0.19","",
"食品類報酬指數","3,673.66","+","37.04","1.02","",
"塑膠類報酬指數","313.66","+","2.91","0.94","",
"紡織纖維類報酬指數","1,098.80","+","26.23","2.45","",
"電機機械類報酬指數","587.60","+","32.92","5.93","",
"電器電纜類報酬指數","179.36","+","10.64","6.31","",
"化學生技醫療類報酬指數","225.37","+","9.28","4.29","",
"化學類報酬指數","288.87","+","10.71","3.85","",
"生技醫療類報酬指數","113.28","+","4.98","4.60","",
"玻璃陶瓷類報酬指數","58.59","+","2.78","4.98","",
"造紙類報酬指數","506.70","+","17.95","3.67","",
"鋼鐵類報酬指數","238.65","+","5.97","2.57","",
"橡膠類報酬指數","471.09","+","13.48","2.95","",
"汽車類報酬指數","627.64","+","16.06","2.63","",
"電子工業類報酬指數","2,243.01","+","94.66","4.41","",
"半導體類報酬指數","1,054.06","+","47.46","4.71","",
"電腦及週邊設備類報酬指數","576.17","+","28.27","5.16","",
"光電類報酬指數","61.20","+","2.74","4.69","",
"通信網路類報酬指數","341.55","+","4.76","1.41","",
"電子零組件類報酬指數","434.39","+","18.65","4.49","",
"電子通路類報酬指數","673.18","+","28.92","4.49","",
"資訊服務類報酬指數","470.45","+","23.79","5.33","",
"其他電子類報酬指數","267.12","+","6.87","2.64","",
"建材營造類報酬指數","1,316.84","+","75.92","6.12","",
"航運類報酬指數","353.19","+","16.80","4.99","",
"觀光餐旅類報酬指數","175.27","+","5.78","3.41","",
"金融保險類報酬指數","3,601.39","+","64.37","1.82","",
"貿易百貨類報酬指數","502.22","+","6.57","1.33","",
