證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8812920","1180328029","134.35","134.50","133.60","134.35","0.0000","9600"
"0051","元大中型100","141911","10456332","73.25","73.90","73.05","73.90","0.7000","311"
"0052","富邦科技","456097","60490409","133.20","133.25","132.15","133.25","0.0500","670"
"0053","元大電子","8120","587397","72.40","72.55","72.15","72.55","-0.5500","68"
"0055","元大MSCI金融","136500","3219974","23.52","23.62","23.52","23.62","0.1200","236"
"0056","元大高股息","12024433","436092543","36.20","36.31","36.20","36.30","0.1000","8910"
"0057","富邦摩台","5148","516952","100.40","100.60","100.30","100.50","-0.8000","11"
"0061","元大寶滬深","498482","7715238","15.47","15.60","15.34","15.53","0.0500","280"
"006203","元大MSCI台灣","1630","105600","64.75","64.75","64.75","64.75","-0.2500","17"
"006204","永豐臺灣加權","58610","5237036","89.35","89.40","89.10","89.40","0.0000","89"
"006205","富邦上証","3501407","93298778","26.65","26.76","26.33","26.56","0.0700","870"
"006206","元大上證50","139420","3617576","25.90","26.08","25.70","25.95","0.1000","121"
"006207","復華滬深","82751","1658981","20.08","20.29","19.94","20.15","0.0700","72"
"006208","富邦台50","4093052","319881334","78.40","78.50","77.95","78.45","0.0000","5847"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","1564450","237915153","152.40","152.80","151.35","152.65","0.6500","1488"
"00632R","元大台灣50反1","60153951","268425766","4.46","4.48","4.45","4.45","-0.0200","2020"
"00633L","富邦上証正2","12344670","338361306","27.32","27.75","26.98","27.47","0.1500","2685"
"00634R","富邦上証反1","394009","2029325","5.15","5.17","5.10","5.14","0.0200","27"
"00635U","期元大S&P黃金","237427","5836653","24.52","24.62","24.52","24.60","0.1400","99"
"00636","國泰中國A50","1129478","20576303","18.15","18.32","18.06","18.22","0.0400","374"
"00636K","國泰中國A50+U","200","1164","5.82","5.82","5.82","5.82","0.0100","2"
"00637L","元大滬深300正2","90606670","984629617","10.85","11.00","10.69","10.91","0.0800","10161"
"00638R","元大滬深300反1","674009","7265856","10.75","10.84","10.70","10.76","0.0100","74"
"00639","富邦深100","801421","7369160","9.15","9.32","9.08","9.24","0.0900","278"
"00640L","富邦日本正2","403616","19620485","48.46","48.77","48.45","48.62","-0.3200","161"
"00641R","富邦日本反1","372037","2641913","7.09","7.11","7.09","7.10","0.0300","32"
"00642U","期元大S&P石油","2787033","46323417","16.56","16.67","16.56","16.61","-0.2600","849"
"00643","群益深証中小","2404396","24222154","10.05","10.16","9.85","10.08","0.0400","373"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","1605743","55634314","34.64","34.72","34.59","34.66","-0.1000","269"
"00646","元大S&P500","2712966","128528081","47.38","47.44","47.26","47.38","-0.4100","1735"
"00647L","元大S&P500正2","214930","15481713","71.95","72.20","71.85","72.10","-1.2500","67"
"00648R","元大S&P500反1","786000","4808270","6.11","6.13","6.11","6.11","0.0500","96"
"00650L","復華香港正2","26361294","205269460","7.68","7.92","7.56","7.80","0.1800","1797"
"00651R","復華香港反1","2315990","23628920","10.28","10.35","10.10","10.19","-0.0900","142"
"00652","富邦印度","337598","11985085","35.30","35.67","35.30","35.67","0.3700","242"
"00653L","富邦印度正2","311327","17352472","55.30","56.10","55.30","56.10","0.8000","104"
"00654R","富邦印度反1","235000","1620310","6.92","6.93","6.88","6.88","-0.0700","30"
"00655L","國泰中國A50正2","8774297","166845625","19.00","19.24","18.70","19.06","0.0700","1092"
"00656R","國泰中國A50反1","779000","7530800","9.67","9.72","9.59","9.64","0.0100","18"
"00657","國泰日經225","1379032","58267430","42.25","42.33","42.18","42.31","-0.0900","148"
"00657K","國泰日經225+U","200","2696","13.48","13.48","13.48","13.48","-0.0100","2"
"00660","元大歐洲50","2036","67763","33.53","33.53","33.53","33.53","0.0500","89"
"00661","元大日經225","1814523","83324072","46.03","46.08","45.84","45.88","-0.3300","509"
"00662","富邦NASDAQ","3216614","223568854","69.45","69.60","69.30","69.45","-0.3500","1959"
"00663L","國泰臺灣加權正2","9000","1264200","140.40","140.70","140.40","140.70","0.3000","3"
"00664R","國泰臺灣加權反1","3840084","19314621","5.03","5.05","5.02","5.02","-0.0200","130"
"00665L","富邦恒生國企正2","74707517","347928531","4.65","4.76","4.53","4.68","0.0900","5056"
"00666R","富邦恒生國企反1","399000","7203720","17.97","18.21","17.78","17.97","-0.1500","38"
"00668","國泰美國道瓊","32600","1413053","43.31","43.43","43.31","43.41","-0.2300","73"
"00668K","國泰美國道瓊+U","200","2766","13.83","13.83","13.83","13.83","-0.0800","2"
"00669R","國泰美國道瓊反1","2462000","17654850","7.16","7.18","7.16","7.18","0.0700","189"
"00670L","富邦NASDAQ正2","2160203","221472530","102.45","102.80","102.25","102.65","-1.5500","1104"
"00671R","富邦NASDAQ反1","10204880","43534725","4.27","4.28","4.26","4.26","0.0200","368"
"00673R","期元大S&P原油反1","18399613","145184347","7.92","7.92","7.86","7.91","0.1300","1218"
"00674R","期元大S&P黃金反1","603000","7230610","12.01","12.02","11.97","12.00","-0.0500","62"
"00675L","富邦臺灣加權正2","922598","56703907","61.60","61.80","61.15","61.80","0.4500","586"
"00676R","富邦臺灣加權反1","1647170","4590846","2.79","2.80","2.78","2.78","0.0000","158"
"00678","群益那斯達克生技","261974","7163685","27.32","27.39","27.32","27.37","-0.2900","21"
"00680L","元大美債20正2","102011604","966741820","9.48","9.53","9.44","9.49","0.1300","6451"
"00681R","元大美債20反1","584100","11367944","19.48","19.50","19.44","19.48","-0.1200","43"
"00682U","期元大美元指數","2005","41794","20.84","20.85","20.84","20.85","0.0100","3"
"00683L","期元大美元指正2","876200","19426130","22.15","22.19","22.11","22.17","0.0200","41"
"00684R","期元大美元指反1","5000","78250","15.65","15.65","15.65","15.65","0.0200","1"
"00685L","群益臺灣加權正2","78043","4267969","54.80","54.90","54.40","54.90","0.3500","42"
"00686R","群益臺灣加權反1","816000","2440990","2.99","3.00","2.99","2.99","0.0000","14"
"00688L","國泰20年美債正2","40240065","379554455","9.42","9.48","9.40","9.45","0.1500","3299"
"00689R","國泰20年美債反1","46200","930750","20.15","20.18","20.13","20.18","-0.1400","10"
"00690","兆豐藍籌30","1161326","33642580","29.01","29.08","28.90","29.05","0.1100","744"
"00692","富邦公司治理","2353807","77208952","32.82","32.94","32.71","32.94","0.1200","1430"
"00693U","期街口S&P黃豆","76020","1881205","24.70","24.80","24.69","24.77","0.0900","27"
"00700","富邦恒生國企","355270","3628200","10.15","10.32","10.05","10.20","0.1000","131"
"00701","國泰股利精選30","1006076","25278824","25.06","25.16","25.01","25.12","0.1600","480"
"00702","國泰標普低波高息","103624","2194812","21.20","21.20","21.18","21.19","-0.0100","14"
"00703","台新MSCI中國","64498","822022","12.63","12.85","12.55","12.70","0.0700","22"
"00706L","期元大S&P日圓正2","8835391","64457964","7.28","7.31","7.27","7.29","0.0800","800"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","2389620","64396622","26.83","27.07","26.81","27.02","0.3200","244"
"00709","富邦歐洲","26113","700104","26.79","26.85","26.79","26.85","0.0400","99"
"00710B","復華彭博非投等債","247985","4648978","18.73","18.76","18.73","18.76","0.0400","57"
"00711B","復華彭博新興債","111139","1793586","16.15","16.15","16.13","16.15","0.1600","99"
"00712","復華富時不動產","52833094","510943034","9.67","9.71","9.63","9.70","-0.1900","14892"
"00713","元大台灣高息低波","3509660","176019218","50.05","50.25","50.05","50.15","0.2100","3313"
