"113年03月29日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","23,150.29","+","166.25","0.72","",
"發行量加權股價指數","20,294.45","+","147.90","0.73","",
"臺灣公司治理100指數","11,690.98","+","112.69","0.97","",
"臺灣50指數","15,935.62","+","168.93","1.07","",
"臺灣50權重上限30%指數","14,486.72","+","138.46","0.96","",
"臺灣中型100指數","19,513.42","+","37.93","0.19","",
"臺灣資訊科技指數","31,501.04","+","334.77","1.07","",
"臺灣發達指數","9,979.33","+","37.26","0.37","",
"臺灣高股息指數","9,717.64","+","40.26","0.42","",
"臺灣就業99指數","12,749.41","+","107.28","0.85","",
"臺灣高薪100指數","10,942.33","+","65.35","0.60","",
"未含金融指數","17,751.24","+","128.13","0.73","",
"未含電子指數","19,097.55","+","67.19","0.35","",
"未含金融電子指數","15,318.13","+","21.94","0.14","",
"小型股300指數","10,948.24","-","18.26","-0.17","",
"水泥窯製類指數","588.41","+","4.98","0.85","",
"塑膠化工類指數","763.40","+","3.14","0.41","",
"機電類指數","5,988.26","+","53.51","0.90","",
"水泥類指數","153.69","+","1.60","1.05","",
"食品類指數","2,144.51","+","18.64","0.88","",
"塑膠類指數","190.04","+","2.12","1.13","",
"紡織纖維類指數","632.45","+","3.33","0.53","",
"電機機械類指數","429.14","+","2.97","0.70","",
"電器電纜類指數","111.61","-","0.76","-0.68","",
"化學生技醫療類指數","132.63","-","0.56","-0.42","",
"化學類指數","170.90","-","1.72","-1.00","",
"生技醫療類指數","70.19","+","0.03","0.04","",
"玻璃陶瓷類指數","49.09","-","0.23","-0.47","",
"造紙類指數","339.92","-","0.33","-0.10","",
"鋼鐵類指數","139.16","-","0.15","-0.11","",
"橡膠類指數","277.08","+","0.42","0.15","",
"汽車類指數","412.39","-","2.28","-0.55","",
"電子工業類指數","1,066.28","+","9.70","0.92","",
"半導體類指數","514.12","+","7.20","1.42","",
"電腦及週邊設備類指數","275.83","+","4.26","1.57","",
"光電類指數","38.20","-","0.08","-0.21","",
"通信網路類指數","152.79","+","0.59","0.39","",
"電子零組件類指數","225.26","+","0.49","0.22","",
"電子通路類指數","280.19","-","0.89","-0.32","",
"資訊服務類指數","192.03","-","1.14","-0.59","",
"其他電子類指數","138.01","-","3.31","-2.34","",
"建材營造類指數","492.01","-","0.85","-0.17","",
"航運類指數","154.33","-","0.87","-0.56","",
"觀光餐旅類指數","128.74","-","0.67","-0.52","",
"金融保險類指數","1,835.02","+","14.45","0.79","",
"貿易百貨類指數","280.69","+","0.31","0.11","",
"油電燃氣類指數","94.95","+","1.03","1.10","",
"綠能環保類指數","107.26","+","0.06","0.06","",
"數位雲端類指數","65.73","-","0.79","-1.19","",
"運動休閒類指數","95.76","-","0.53","-0.55","",
"居家生活類指數","107.30","-","0.46","-0.43","",
"其他類指數","359.11","+","0.04","0.01","",
"臺指日報酬兩倍指數","50,600.59","+","732.19","1.47","",
"臺指反向一倍指數","3,303.49","-","24.43","-0.73","",
"電子類兩倍槓桿指數","60,407.94","+","1,089.16","1.84","",
"電子類反向指數","2,598.41","-","24.08","-0.92","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,042.63","-","3.45","-0.09","",
"臺灣中小型公司治理指數","9,636.37","+","65.58","0.69","",
"臺灣IPO指數","5,641.90","+","62.94","1.13","",
"智慧中立指數","3,673.49","-","7.58","-0.21","",
"臺灣5G指數","10,434.21","+","131.12","1.27","",
"臺灣企業社會責任中小型指數","12,625.26","-","10.40","-0.08","",
"特選臺灣電動車代表指數","9,586.35","-","52.52","-0.54","",
"臺灣5G+通訊指數","8,787.97","+","69.74","0.80","",
"臺灣全市場指數","7,016.22","+","51.69","0.74","",
"臺灣全市場半導體指數","7,226.37","+","116.43","1.64","",
"臺灣智慧移動與電動車指數","5,396.07","+","36.13","0.67","",
"特選小資高價30指數","6,992.12","+","111.93","1.63","",
"特選臺灣綠能及電動車指數","5,933.23","+","24.32","0.41","",
"特選臺灣智能車供應鏈聯盟指數","6,355.18","+","58.71","0.93","",
"臺灣全市場半導體精選30指數","5,766.66","+","103.95","1.84","",
"特選臺灣高股息30指數","5,667.49","+","14.05","0.25","",
"臺灣友善環境指數","6,165.95","+","40.06","0.65","",
"台灣永續價值指數","5,587.16","+","50.58","0.91","",
"特選臺灣IC設計指數","4,745.38","+","118.43","2.56","",
"特選臺灣環境永續高股息指數","6,938.96","-","28.76","-0.41","",
"臺灣友善環境50指數","5,155.70","+","44.91","0.88","",
"特選臺灣IC設計產業代表指數","6,016.66","+","112.18","1.90","",
"特選臺灣綠能指數","5,811.08","+","26.43","0.46","",
"特選臺灣智慧50指數","4,714.79","+","53.30","1.14","",
"特選臺灣標竿PCB指數","5,471.50","+","28.69","0.53","",
"臺灣晶圓製造指數","5,937.03","+","87.53","1.50","",
"臺灣精選高息指數","5,647.46","+","15.24","0.27","",
"臺灣多因子優選高股息30指數","8,388.90","-","8.27","-0.10","",
"特選臺灣優利高填息30指數","7,138.56","+","12.19","0.17","",
"特選臺灣科技優息指數","9,563.56","+","58.02","0.61","",
"臺灣工業4.0指數","7,550.40","+","74.45","1.00","",
"臺灣半導體收益指數","6,949.30","+","89.03","1.30","",
"臺灣優選成長高股息指數","7,748.71","+","60.90","0.79","",
"特選臺灣ESG低碳高息40指數","8,819.62","+","37.97","0.43","",
"臺灣優選多因子30指數","7,677.87","-","40.47","-0.52","",
"臺灣創新科技50指數","6,818.06","+","93.02","1.38","",
"臺灣全市場新經濟產業指數","4,791.49","-","21.63","-0.45","",
"臺灣ESG永續高股息等權重指數","6,472.50","-","8.95","-0.14","",
"臺灣永續高息中小型指數","6,349.69","-","20.48","-0.32","",
"特選臺灣高息優質成長指數","6,175.28","+","30.22","0.49","",
"特選臺灣高息動能指數","6,912.72","+","50.80","0.74","",
"臺灣電子成長高息等權重指數","5,747.41","+","8.11","0.14","",
"特選臺灣優利成長指數","5,511.83","+","28.36","0.52","",
"臺灣價值高息指數","5,835.59","-","6.79","-0.12","",
"特選臺灣IC設計動能指數","5,298.25","+","108.63","2.09","",
"臺灣科技高股息指數","5,832.24","+","14.00","0.24","",
"臺灣趨勢動能高股息指數","5,869.57","+","4.90","0.08","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","36,664.22","+","572.92","1.59","",
"金融類日報酬反向一倍指數","4,099.89","-","32.80","-0.79","",
"漲升股利150指數","9,745.03","+","44.74","0.46","",
"藍籌30指數","9,635.11","+","118.00","1.24","",
"工業菁英30指數","10,743.88","+","143.68","1.36","",
"電子菁英30指數","12,138.81","+","160.82","1.34","",
"低波動股利精選30指數","7,858.77","+","61.77","0.79","",
"中小型A級動能50指數","26,505.21","+","79.48","0.30","",
"特選高息低波指數","9,969.24","-","40.64","-0.41","",
"臺灣永續指數","10,535.03","+","96.63","0.93","",
"價值投資指數","7,662.90","+","48.70","0.64","",
"存股雙十等權重指數","9,371.19","+","107.32","1.16","",
"特選大蘋果指數","10,940.96","+","108.70","1.00","",
"中小型300指數","11,695.51","+","11.74","0.10","",
"臺灣500指數","10,406.48","+","74.28","0.72","",
"臺灣勞工權益指數","9,178.15","+","15.08","0.16","",
"微波高息精選20指數","8,465.67","-","77.40","-0.91","",
"特選世代行動通訊指數","8,907.05","-","24.66","-0.28","",
"智慧投資多因子30指數","6,795.96","+","6.41","0.09","",
"臺股期貨指數","11,020.47","+","41.84","0.38","",
"特選價值成長指數","9,042.40","-","37.92","-0.42","",
"臺灣上櫃永續指數","7,616.45","+","72.86","0.97","",
