"113年08月23日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","25,247.65","+","25.30","0.10","",
"發行量加權股價指數","22,158.05","+","9.22","0.04","",
"臺灣公司治理100指數","12,908.44","-","8.85","-0.07","",
"臺灣50指數","18,004.74","-","18.57","-0.10","",
"臺灣50權重上限30%指數","15,765.38","-","7.15","-0.05","",
"臺灣中型100指數","19,758.65","+","70.76","0.36","",
"臺灣資訊科技指數","35,764.13","-","0.93","--","",
"臺灣發達指數","10,098.42","-","14.74","-0.15","",
"臺灣高股息指數","9,558.04","+","5.41","0.06","",
"臺灣就業99指數","13,289.74","-","2.34","-0.02","",
"臺灣高薪100指數","11,607.53","-","14.69","-0.13","",
"未含金融指數","19,346.48","+","7.61","0.04","",
"未含電子指數","20,006.54","-","22.89","-0.11","",
"未含金融電子指數","15,602.96","-","31.95","-0.20","",
"小型股300指數","11,732.99","+","23.93","0.20","",
"水泥窯製類指數","608.33","-","1.08","-0.18","",
"塑膠化工類指數","716.62","-","5.11","-0.71","",
"機電類指數","6,631.18","+","8.47","0.13","",
"水泥類指數","161.17","-","0.12","-0.07","",
"食品類指數","2,262.28","-","6.32","-0.28","",
"塑膠類指數","154.43","-","2.11","-1.35","",
"紡織纖維類指數","655.67","-","5.56","-0.84","",
"電機機械類指數","400.85","+","2.93","0.74","",
"電器電纜類指數","114.17","+","0.10","0.09","",
"化學生技醫療類指數","142.03","-","0.29","-0.20","",
"化學類指數","168.70","-","0.03","-0.02","",
"生技醫療類指數","79.77","-","0.26","-0.32","",
"玻璃陶瓷類指數","45.81","-","0.43","-0.93","",
"造紙類指數","319.00","-","1.87","-0.58","",
"鋼鐵類指數","135.00","-","0.28","-0.21","",
"橡膠類指數","287.17","-","0.90","-0.31","",
"汽車類指數","385.19","+","3.84","1.01","",
"電子工業類指數","1,186.95","+","1.34","0.11","",
"半導體類指數","594.05","-","0.80","-0.13","",
"電腦及週邊設備類指數","260.69","+","1.17","0.45","",
"光電類指數","42.48","+","0.31","0.74","",
"通信網路類指數","157.21","+","0.57","0.36","",
"電子零組件類指數","237.08","+","2.51","1.07","",
"電子通路類指數","261.33","+","1.02","0.39","",
"資訊服務類指數","192.64","-","0.02","-0.01","",
"其他電子類指數","164.27","+","0.50","0.31","",
"建材營造類指數","631.54","-","9.66","-1.51","",
"航運類指數","180.30","+","0.22","0.12","",
"觀光餐旅類指數","121.10","+","0.27","0.22","",
"金融保險類指數","2,034.14","+","1.24","0.06","",
"貿易百貨類指數","308.11","+","1.32","0.43","",
"油電燃氣類指數","79.68","-","0.88","-1.09","",
"綠能環保類指數","128.60","+","1.57","1.24","",
"數位雲端類指數","68.58","+","0.42","0.62","",
"運動休閒類指數","98.40","+","0.94","0.96","",
"居家生活類指數","132.15","-","1.26","-0.94","",
"其他類指數","370.19","-","2.01","-0.54","",
"臺指日報酬兩倍指數","58,623.21","+","48.77","0.08","",
"臺指反向一倍指數","2,944.68","-","1.23","-0.04","",
"電子類兩倍槓桿指數","71,741.82","+","161.80","0.23","",
"電子類反向指數","2,241.52","-","2.54","-0.11","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,419.34","-","17.06","-0.38","",
"臺灣中小型公司治理指數","10,254.23","-","0.84","-0.01","",
"臺灣IPO指數","5,479.55","+","69.66","1.29","",
"智慧中立指數","3,853.48","+","6.56","0.17","",
"臺灣5G指數","11,182.78","+","30.48","0.27","",
"臺灣企業社會責任中小型指數","11,817.36","-","13.05","-0.11","",
"特選臺灣電動車代表指數","10,067.47","+","35.49","0.35","",
"臺灣5G+通訊指數","9,708.53","+","18.03","0.19","",
"臺灣全市場指數","7,702.92","+","6.74","0.09","",
"臺灣全市場半導體指數","7,686.51","+","14.77","0.19","",
"臺灣智慧移動與電動車指數","5,813.43","+","37.29","0.65","",
"特選小資高價30指數","7,878.33","+","64.92","0.83","",
"特選臺灣綠能及電動車指數","6,027.84","-","0.93","-0.02","",
"特選臺灣智能車供應鏈聯盟指數","6,996.12","+","2.25","0.03","",
"臺灣全市場半導體精選30指數","6,084.66","+","16.29","0.27","",
"特選臺灣高股息30指數","5,311.37","+","5.79","0.11","",
"臺灣友善環境指數","6,687.45","-","1.66","-0.02","",
"台灣永續價值指數","6,150.87","-","1.58","-0.03","",
"特選臺灣IC設計指數","4,423.04","+","25.28","0.57","",
