證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8281952","1501858594","180.95","182.05","180.65","181.35","0.8500","9587"
"0051","元大中型100","28606","2343199","81.60","82.10","81.60","81.85","0.4000","165"
"0052","富邦科技","292515","52028749","178.20","178.65","177.25","177.40","0.1500","703"
"0053","元大電子","15414","1509837","97.75","98.20","97.55","98.20","0.5500","104"
"0055","元大MSCI金融","51925","1491975","28.80","28.84","28.66","28.75","0.0900","166"
"0056","元大高股息","9050448","353841310","39.05","39.15","39.05","39.06","0.0500","7236"
"0057","富邦摩台","14106","1890260","134.05","134.20","133.90","134.05","-0.0500","105"
"0061","元大寶滬深","563491","9386146","16.59","16.74","16.38","16.70","0.3200","207"
"006203","元大MSCI台灣","2088","178639","85.95","85.95","85.95","85.95","0.1000","106"
"006204","永豐臺灣加權","8993","1005940","111.90","112.30","111.70","112.30","0.3500","111"
"006205","富邦上証","730335","21253286","28.70","29.28","28.70","29.21","0.5100","207"
"006206","元大上證50","91279","2550600","27.62","28.18","27.61","28.08","0.4800","104"
"006207","復華滬深","82676","1768588","21.08","21.61","21.08","21.56","0.5100","18"
"006208","富邦台50","4831615","512539302","106.00","106.50","105.75","105.75","0.0000","6346"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3320526","762574502","229.50","231.00","228.15","229.90","2.4500","3454"
"00632R","元大台灣50反1","71696637","246076327","3.43","3.45","3.42","3.43","-0.0100","2896"
"00633L","富邦上証正2","8425281","267051639","30.99","32.32","30.84","32.25","1.2600","1848"
"00634R","富邦上証反1","484000","2261790","4.75","4.75","4.66","4.67","-0.1000","50"
"00635U","期元大S&P黃金","955111","27949269","29.26","29.28","29.22","29.24","-0.0200","204"
"00636","國泰中國A50","2028410","41330047","20.00","20.51","19.97","20.48","0.4600","418"
"00636K","國泰中國A50+U","200","1284","6.42","6.42","6.42","6.42","0.1500","2"
"00637L","元大滬深300正2","79285570","1007093002","12.40","12.96","12.35","12.92","0.5100","8895"
"00638R","元大滬深300反1","1295497","12780116","9.98","9.99","9.76","9.80","-0.1700","100"
"00639","富邦深100","1817823","17654396","9.47","9.82","9.46","9.82","0.3600","315"
"00640L","富邦日本正2","599180","31191085","52.00","52.20","51.80","51.85","0.5000","242"
"00641R","富邦日本反1","1180182","7395894","6.28","6.28","6.25","6.27","-0.0500","173"
"00642U","期元大S&P石油","4000992","69933204","17.42","17.52","17.42","17.51","0.3000","782"
"00643","群益深証中小","1409043","15439182","10.65","11.13","10.63","11.13","0.4800","229"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","727626","26937934","37.05","37.06","36.92","36.92","0.1100","243"
"00646","元大S&P500","532049","29715348","55.70","55.95","55.70","55.90","0.3500","450"
"00647L","元大S&P500正2","65578","5955811","90.80","91.00","90.65","90.90","0.9500","46"
"00648R","元大S&P500反1","221210","1196836","5.40","5.42","5.40","5.42","-0.0200","33"
"00650L","復華香港正2","23841489","242952668","9.92","10.38","9.90","10.35","0.5300","2886"
"00651R","復華香港反1","927750","7960685","8.70","8.70","8.52","8.54","-0.2300","165"
"00652","富邦印度","223627","8997638","40.13","40.32","40.13","40.31","0.2000","234"
"00653L","富邦印度正2","94447","6388153","67.55","67.90","67.45","67.75","0.5500","98"
"00654R","富邦印度反1","162000","1000760","6.18","6.19","6.16","6.18","-0.0100","38"
"00655L","國泰中國A50正2","4404996","95359592","21.09","22.02","20.99","21.98","0.8900","865"
"00656R","國泰中國A50反1","687000","6092880","8.96","8.97","8.76","8.79","-0.1600","26"
"00657","國泰日經225","16280","737230","45.26","45.33","45.23","45.23","0.2000","63"
"00657K","國泰日經225+U","200","2834","14.17","14.17","14.17","14.17","0.0800","2"
"00660","元大歐洲50","6347","229231","36.08","36.23","36.08","36.22","0.3600","92"
"00661","元大日經225","594699","29358080","49.19","49.42","49.18","49.19","0.1900","147"
"00662","富邦NASDAQ","802082","63964198","79.60","79.95","79.60","79.95","0.9000","439"
"00663L","國泰臺灣加權正2","4076","857499","210.20","210.70","210.20","210.30","2.5000","7"
"00664R","國泰臺灣加權反1","3661174","14130611","3.87","3.87","3.84","3.86","-0.0100","342"
"00665L","富邦恒生國企正2","83419283","552285777","6.45","6.75","6.44","6.75","0.3800","5167"
"00666R","富邦恒生國企反1","60000","865200","14.62","14.62","14.38","14.39","-0.4600","36"
"00668","國泰美國道瓊","184565","8845545","47.98","48.09","47.90","48.07","0.2700","87"
"00668K","國泰美國道瓊+U","200","3006","15.03","15.03","15.03","15.03","0.0700","2"
"00669R","國泰美國道瓊反1","1939000","13144700","6.79","6.79","6.77","6.79","0.0000","185"
"00670L","富邦NASDAQ正2","704983","83710114","118.60","118.95","118.45","118.80","2.0000","455"
"00671R","富邦NASDAQ反1","8729563","33216979","3.80","3.82","3.80","3.81","-0.0300","324"
"00673R","期元大S&P原油反1","10499116","76065055","7.27","7.27","7.23","7.24","-0.1200","973"
"00674R","期元大S&P黃金反1","505026","5037045","9.97","9.99","9.96","9.99","0.0200","80"
"00675L","富邦臺灣加權正2","2227879","204738148","91.85","92.35","91.35","91.95","0.8500","1921"
"00676R","富邦臺灣加權反1","3367330","7241872","2.15","2.16","2.14","2.15","-0.0100","171"
"00678","群益那斯達克生技","505087","15659858","30.95","31.03","30.93","31.01","-0.0300","29"
"00680L","元大美債20正2","49443773","465611480","9.42","9.43","9.41","9.42","-0.0400","5884"
"00681R","元大美債20反1","32000","616020","19.29","19.29","19.24","19.26","0.0700","9"
"00682U","期元大美元指數","3000","61570","20.52","20.53","20.52","20.53","0.0900","2"
"00683L","期元大美元指正2","85000","1828020","21.47","21.53","21.47","21.51","0.1900","22"
"00684R","期元大美元指反1","42001","662085","15.77","15.78","15.76","15.78","-0.0500","13"
"00685L","群益臺灣加權正2","540705","44318110","81.95","82.45","81.50","82.00","0.9000","350"
"00686R","群益臺灣加權反1","1470855","3434562","2.33","2.34","2.32","2.34","-0.0100","45"
"00688L","國泰20年美債正2","34142358","319952833","9.38","9.38","9.36","9.38","-0.0400","3439"
"00689R","國泰20年美債反1","5000","99860","19.97","19.98","19.97","19.98","0.0000","3"
"00690","兆豐藍籌30","685488","23525352","34.37","34.37","34.19","34.29","0.1500","331"
"00692","富邦公司治理","2385782","101341168","42.31","42.59","42.31","42.39","0.0900","1180"
"00693U","期街口S&P黃豆","383151","7834067","20.29","20.57","20.29","20.57","0.5000","230"
"00700","富邦恒生國企","491173","6226018","12.46","12.77","12.46","12.76","0.3500","134"
"00701","國泰股利精選30","585043","16867520","28.84","28.86","28.80","28.83","0.0700","262"
"00702","國泰標普低波高息","106792","2640790","24.72","24.73","24.72","24.73","0.1100","58"
"00703","台新MSCI中國","119037","1759192","14.68","14.88","14.68","14.88","0.3900","39"
"00706L","期元大S&P日圓正2","7429675","51522876","6.94","6.95","6.92","6.93","-0.0100","596"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","582477","21871739","37.56","37.65","37.45","37.50","-0.0300","158"
"00709","富邦歐洲","21369","657281","30.77","30.77","30.77","30.77","0.2000","8"
"00710B","復華彭博非投等債","217344","4255414","19.59","19.60","19.53","19.60","0.0200","63"
"00711B","復華彭博新興債","111979","1905889","17.01","17.04","17.01","17.03","-0.0200","64"
"00712","復華富時不動產","12031031","120555382","10.00","10.04","9.99","10.03","0.0500","3040"
"00713","元大台灣高息低波","7938259","462631625","58.30","58.45","58.15","58.25","0.1500","4817"
"00714","群益道瓊美國地產","223158","4832532","21.60","21.67","21.60","21.66","-0.0300","105"
"00715L","期街口布蘭特正2","39002581","585473265","14.97","15.10","14.92","15.10","0.4700","4586"
"00717","富邦美國特別股","106219","1702366","15.99","16.05","15.99","16.04","0.0400","113"
"00728","第一金工業30","168399","5470696","32.48","32.57","32.45","32.55","0.2600","141"
"00730","富邦臺灣優質高息","75233","1736943","23.09","23.13","23.05","23.05","0.0300","216"
"00731","復華富時高息低波","904139","66231049","73.15","73.40","73.15","73.15","0.1500","1894"
"00733","富邦臺灣中小","883781","50171597","56.80","57.05","56.45","56.45","0.0000","987"
"00735","國泰臺韓科技","189499","6396460","33.65","33.77","33.65","33.74","0.1100","501"
"00736","國泰新興市場","105739","2449777","23.14","23.23","23.14","23.23","0.2500","8"
"00737","國泰AI+Robo","228269","6921788","30.23","30.34","30.23","30.33","0.4100","95"
"00738U","期元大道瓊白銀","316299","8388979","26.53","26.60","26.47","26.50","-0.0900","102"
"00739","元大MSCI A股","42238","846451","19.85","20.18","19.85","20.12","0.5200","82"
"00752","中信中國50","2372824","42617057","17.70","18.12","17.67","18.12","0.5300","544"
"00753L","中信中國50正2","26239496","189400936","7.06","7.37","7.04","7.37","0.4200","2965"
"00757","統一FANG+","826342","69412902","83.65","84.20","83.65","84.20","1.2500","2893"
"00762","元大全球AI","259791","15135793","58.10","58.45","58.10","58.45","0.7500","360"
"00763U","期街口道瓊銅","84199","2155613","25.55","25.69","25.51","25.69","0.1400","70"
"00770","國泰北美科技","223605","10168793","45.60","45.60","45.35","45.52","0.5000","228"
"00771","元大US高息特別股","4546","80215","17.66","17.69","17.66","17.69","0.0200","64"
"00775B","新光投等債15+","803963","28331376","35.22","35.27","35.22","35.22","-0.0900","109"
"00783","富邦中証500","128028","2091705","16.05","16.41","16.05","16.37","0.4900","15"
"00830","國泰費城半導體","4693823","213276167","45.40","45.60","45.30","45.59","0.9500","2248"
