證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8890361","982130895","110.60","110.75","110.20","110.20","0.7000","7376"
"0051","元大中型100","12168","625986","51.55","51.55","51.25","51.25","0.1500","133"
"0052","富邦科技","112421","10464172","93.50","93.60","92.50","92.50","0.5000","286"
"0053","元大電子","7129","371280","52.35","52.40","51.40","51.40","-0.3500","1010"
"0055","元大MSCI金融","239362","5142321","21.45","21.58","21.44","21.50","0.1500","236"
"0056","元大高股息","8002875","203546134","25.46","25.50","25.40","25.40","0.1100","5957"
"0057","富邦摩台","4000","313946","78.75","78.75","78.60","78.60","0.9500","1002"
"0061","元大寶滬深","69201","1274402","18.36","18.45","18.36","18.42","0.0800","865"
"006203","元大MSCI台灣","4183","221973","53.20","53.35","53.20","53.20","0.3500","987"
"006204","永豐臺灣加權","25963","1846444","71.05","71.30","71.05","71.20","0.5500","1009"
"006205","富邦上証","563336","17594734","31.20","31.29","31.10","31.17","0.2100","113"
"006206","元大上證50","56364","1694169","30.21","30.21","30.00","30.04","0.2700","32"
"006207","FH滬深","161490","3923267","24.28","24.35","24.27","24.32","0.2700","9"
"006208","富邦台50","2115281","131921561","62.40","62.60","62.10","62.10","0.2500","2813"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","4962213","463516036","93.45","93.75","92.80","92.80","1.1000","1951"
"00632R","元大台灣50反1","128617709","759073387","5.90","5.92","5.89","5.91","-0.0500","5437"
"00633L","富邦上証正2","5864994","230017492","39.00","39.50","38.92","39.15","0.7100","1287"
"00634R","富邦上証反1","310261","1395842","4.52","4.52","4.49","4.51","-0.0400","56"
"00635U","期元大S&P黃金","518666","12168882","23.43","23.48","23.42","23.47","0.1100","167"
"00636","國泰中國A50","859689","18357574","21.23","21.41","21.23","21.38","0.2500","589"
"00636K","國泰中國A50+U","200","1392","6.96","6.96","6.96","6.96","0.1000","2"
"00637L","元大滬深300正2","54619130","845782173","15.42","15.59","15.36","15.47","0.2800","5861"
"00638R","元大滬深300反1","283000","2689340","9.54","9.55","9.48","9.50","-0.1000","56"
"00639","富邦深100","147042","1849523","12.54","12.60","12.54","12.55","0.0400","38"
"00640L","富邦日本正2","119215","3223912","27.12","27.12","26.95","26.97","0.0900","42"
"00641R","富邦日本反1","635100","6288450","9.92","9.92","9.89","9.92","-0.0300","87"
"00642U","期元大S&P石油","3062345","51467471","16.80","16.85","16.71","16.81","0.0100","365"
"00643","群益深証中小","41020","598706","14.61","14.65","14.59","14.60","0.0000","335"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","91329","2322053","25.37","25.46","25.37","25.40","0.0800","512"
"00646","元大S&P500","95554","3491240","36.55","36.60","36.46","36.56","0.4900","221"
"00647L","元大S&P500正2","175671","8734855","49.66","49.80","49.60","49.64","1.3000","79"
"00648R","元大S&P500反1","3526100","26795710","7.60","7.61","7.59","7.61","-0.1000","271"
"00650L","FH香港正2","5707516","79511070","13.98","14.13","13.75","13.81","0.1900","1334"
"00651R","FH香港反1","958000","8102010","8.50","8.52","8.41","8.52","-0.0800","198"
"00652","富邦印度","95642","2880178","30.13","30.16","30.04","30.04","0.2700","291"
"00653L","富邦印度正2","234870","10822944","46.02","46.24","46.01","46.06","1.0600","97"
"00654R","富邦印度反1","538189","4209732","7.83","7.85","7.81","7.82","-0.1000","77"
"00655L","國泰中國A50正2","1911100","53131000","27.65","28.00","27.54","27.80","0.5500","464"
"00656R","國泰中國A50反1","364000","3091660","8.49","8.51","8.46","8.46","-0.1000","20"
"00657","國泰日經225","7000","217340","31.03","31.06","31.02","31.06","0.2200","7"
"00657K","國泰日經225+U","200","2018","10.09","10.09","10.09","10.09","0.0600","2"
"00660","元大歐洲50","2012","55519","28.18","28.18","28.18","28.18","0.2500","998"
"00661","元大日經225","3000","99990","33.39","33.39","33.30","33.30","0.2200","2"
"00662","富邦NASDAQ","322072","13942234","43.21","43.36","43.15","43.32","0.8800","456"
"00663L","國泰臺灣加權正2","167000","14378750","86.25","86.25","85.70","85.70","1.2500","12"
"00664R","國泰臺灣加權反1","6251515","41661202","6.66","6.68","6.65","6.68","-0.0400","403"
"00665L","富邦恒生國企正2","23885260","208966766","8.76","8.90","8.63","8.64","0.0900","2150"
"00666R","富邦恒生國企反1","284000","4178770","14.74","14.84","14.61","14.82","-0.1400","57"
"00668","國泰美國道瓊","26739","988036","36.88","37.07","36.88","37.06","0.3800","899"
"00668K","國泰美國道瓊+U","200","2412","12.06","12.06","12.06","12.06","0.1300","2"
"00669R","國泰美國道瓊反1","7998154","64297383","8.03","8.05","8.03","8.05","-0.0700","742"
"00670L","富邦NASDAQ正2","3897797","188967147","48.50","48.58","48.36","48.45","1.7600","1522"
"00671R","富邦NASDAQ反1","21177300","140900332","6.65","6.67","6.64","6.65","-0.1400","900"
