證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","11521967","1648442209","143.30","143.50","142.80","142.90","0.6000","12271"
"0051","元大中型100","157928","9510901","60.10","60.30","60.10","60.30","0.3500","157"
"0052","富邦科技","646018","86279811","134.20","134.20","133.05","133.05","0.3500","408"
"0053","元大電子","20988","1449037","68.75","69.30","68.75","68.90","0.3000","65"
"0054","元大台商50","4963","152757","30.94","30.95","30.94","30.95","0.2600","45"
"0055","元大MSCI金融","1969909","51496683","26.00","26.30","25.91","26.27","0.3600","1263"
"0056","元大高股息","18963931","629898369","33.06","33.31","33.04","33.30","0.3000","10910"
"0057","富邦摩台","40905","4077826","99.65","99.90","99.60","99.75","0.5500","60"
"0061","元大寶滬深","290165","6243015","21.83","21.83","21.34","21.56","-0.2700","202"
"006203","元大MSCI台灣","8486","577914","68.30","68.35","68.00","68.30","0.4500","43"
"006204","永豐臺灣加權","22450","2019536","89.55","90.10","89.55","90.10","0.9000","42"
"006205","富邦上証","929831","32888857","35.70","35.70","35.11","35.40","-0.3200","445"
"006206","元大上證50","437949","14876731","34.50","34.50","33.75","34.10","-0.4000","225"
"006207","FH滬深","363979","10258581","28.21","28.60","27.87","28.06","-0.5200","98"
"006208","富邦台50","2885077","237639905","82.50","82.60","82.20","82.20","0.2500","4446"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2347279","336530738","143.05","143.90","142.90","142.90","1.4000","996"
"00632R","元大台灣50反1","138740303","715416068","5.16","5.17","5.15","5.16","-0.0300","5659"
"00633L","富邦上証正2","11253084","551767785","50.35","50.35","48.01","48.83","-1.3700","3491"
"00634R","富邦上証反1","1180000","4899300","4.12","4.20","4.10","4.15","0.0400","122"
"00635U","期元大S&P黃金","307934","7430914","24.12","24.16","24.10","24.10","0.1100","123"
"00636","國泰中國A50","1661532","39489642","24.27","24.27","23.55","23.79","-0.3400","935"
"00636K","國泰中國A50+U","200","1698","8.49","8.49","8.49","8.49","-0.2100","2"
"00637L","元大滬深300正2","98527787","1912528825","19.97","19.97","19.00","19.38","-0.5700","18557"
"00638R","元大滬深300反1","2087000","17990340","8.48","8.66","8.47","8.58","0.1300","149"
"00639","富邦深100","1556997","23309632","15.39","15.42","14.82","14.95","-0.4400","948"
"00640L","富邦日本正2","883000","24779560","28.11","28.17","27.91","27.93","0.5300","172"
"00641R","富邦日本反1","489000","5029240","10.32","10.32","10.27","10.31","-0.1200","36"
"00642U","期元大S&P石油","7011497","113611785","16.22","16.26","16.14","16.20","-0.1300","1351"
"00643","群益深証中小","702538","12366139","18.00","18.00","17.39","17.54","-0.4900","322"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","117101","3003725","25.72","25.74","25.64","25.67","-0.0500","67"
"00646","元大S&P500","668731","25677872","38.45","38.45","38.34","38.38","-0.1200","631"
"00647L","元大S&P500正2","134700","9478793","70.45","70.50","70.20","70.20","-0.4500","48"
"00648R","元大S&P500反1","1587000","10663220","6.71","6.73","6.71","6.73","0.0100","53"
"00650L","FH香港正2","1411432","30519002","22.30","22.30","21.45","21.52","-0.5100","262"
"00651R","FH香港反1","137000","1050720","7.60","7.69","7.59","7.67","0.0300","25"
"00652","富邦印度","224199","6365389","28.70","28.70","28.22","28.22","-0.4900","182"
"00653L","富邦印度正2","628197","27038916","43.18","43.56","42.49","42.49","-1.4100","319"
"00654R","富邦印度反1","731000","6113980","8.38","8.44","8.30","8.44","0.2100","86"
"00655L","國泰中國A50正2","4851329","177920285","37.80","37.80","35.96","36.69","-1.0800","1820"
"00656R","國泰中國A50反1","752000","5949020","7.74","7.92","7.74","7.90","0.1600","47"
"00657","國泰日經225","13476","441568","32.82","32.84","32.75","32.75","0.0600","46"
"00657K","國泰日經225+U","200","2356","11.78","11.78","11.78","11.78","0.0200","2"
"00660","元大歐洲50","4928","144923","29.56","29.56","29.51","29.51","0.0300","44"
"00661","元大日經225","2661","91065","34.46","34.46","34.39","34.39","-0.1600","43"
"00662","富邦NASDAQ","716509","37464587","52.25","52.50","52.20","52.25","-0.5500","594"
"00663L","國泰臺灣加權正2","14000","1817300","129.50","130.30","129.50","129.65","1.2500","11"
"00664R","國泰臺灣加權反1","4794387","28053371","5.87","5.87","5.84","5.85","-0.0500","1851"
"00665L","富邦恒生國企正2","1296000","19430690","15.26","15.35","14.78","14.82","-0.3500","210"
"00666R","富邦恒生國企反1","74000","964340","13.10","13.10","12.98","13.06","0.1000","6"
"00668","國泰美國道瓊","20031","710510","35.44","35.46","35.39","35.39","-0.0500","55"
"00668K","國泰美國道瓊+U","200","2548","12.74","12.74","12.74","12.74","0.0200","2"
"00669R","國泰美國道瓊反1","1182100","9151342","7.74","7.75","7.73","7.75","0.0000","147"
"00670L","富邦NASDAQ正2","805483","80427889","100.15","100.15","99.50","99.55","-1.7000","411"
"00671R","富邦NASDAQ反1","4366550","23726692","5.42","5.45","5.42","5.45","0.0500","285"
"00673R","期元大S&P原油反1","4008999","43435942","10.82","10.87","10.80","10.85","0.1000","1101"
"00674R","期元大S&P黃金反1","107033","1377314","12.86","12.89","12.85","12.89","-0.0400","16"
"00675L","富邦臺灣加權正2","556877","31142287","55.75","56.15","55.70","55.80","0.6000","297"
"00676R","富邦臺灣加權反1","9585752","30673618","3.21","3.21","3.19","3.20","-0.0300","504"
"00678","群益NBI生技","357263","8425681","23.62","23.62","23.56","23.59","0.2400","67"
"00680L","元大美債20正2","77048","1705423","22.20","22.20","22.05","22.10","-0.4100","50"
"00681R","元大美債20反1","286000","3959280","13.83","13.88","13.83","13.84","0.0600","22"
"00682U","期元大美元指數","211345","3980397","18.76","18.89","18.76","18.85","0.0800","31"
"00683L","期元大美元指正2","648100","11902823","18.36","18.40","18.33","18.39","0.0100","138"
"00684R","期元大美元指反1","1000","17930","17.93","17.93","17.93","17.93","-0.0100","1"
"00685L","群益臺灣加權正2","1000","48880","48.88","48.88","48.88","48.88","0.6600","1"
"00686R","群益臺灣加權反1","281000","977980","3.48","3.49","3.48","3.48","-0.0200","13"
"00688L","國泰20年美債正2","44000","972410","22.16","22.16","22.01","22.03","-0.4000","17"
"00689R","國泰20年美債反1","108000","1572470","14.53","14.57","14.53","14.57","0.1400","9"
"00690","兆豐藍籌30","114962","3955990","34.40","34.47","34.40","34.44","0.2200","59"
"00692","富邦公司治理","2342885","84563280","36.13","36.17","36.00","36.00","0.0400","1419"
"00693U","期街口S&P黃豆","1384526","34459447","25.08","25.08","24.73","24.77","-0.0200","595"
"00700","富邦恒生國企","257678","3892163","15.24","15.25","15.03","15.05","-0.1900","67"
"00701","國泰股利精選30","4538874","120620189","26.50","26.64","26.44","26.62","0.2200","2308"
"00702","國泰標普低波高息","109281","2226555","20.33","20.38","20.33","20.38","0.0800","53"
"00703","台新MSCI中國","283989","5275351","18.73","18.73","18.44","18.47","-0.1700","55"
"00706L","期元大S&P日圓正2","63000","899510","14.30","14.30","14.27","14.28","-0.0300","15"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","546124","14381217","26.29","26.39","26.26","26.26","0.2100","210"
"00709","富邦歐洲","104610","2444788","23.41","23.41","23.34","23.34","0.1700","33"
"00710B","FH彭博高收益債","384087","6736676","17.54","17.55","17.53","17.54","-0.0200","263"
"00711B","FH彭博新興債","64671","1222259","18.92","18.92","18.88","18.89","-0.1100","45"
"00712","FH富時不動產","3411290","43802051","12.89","12.89","12.81","12.83","0.0000","3355"
"00713","元大台灣高息低波","2225376","97104212","43.35","43.79","43.33","43.79","0.4900","1070"
"00714","群益道瓊美國地產","538299","11483477","21.36","21.37","21.29","21.30","-0.0100","416"
"00715L","期街口布蘭特正2","21803259","315804812","14.53","14.55","14.38","14.48","-0.2700","2512"
"00717","富邦美國特別股","615077","9691061","15.78","15.78","15.74","15.76","-0.0300","1561"
"00728","第一金工業30","1727547","49187302","28.62","28.62","28.39","28.41","0.0300","941"
"00730","富邦臺灣優質高息","494224","9826976","19.74","19.93","19.74","19.93","0.1900","323"
"00731","FH富時高息低波","1393513","85381671","60.85","61.35","60.85","61.30","0.3000","322"
"00732","國泰RMB短期報酬","101241","4108705","40.59","40.59","40.59","40.59","-0.0200","30"
"00733","富邦臺灣中小","273590","10947597","39.70","40.10","39.70","40.08","0.3800","237"
"00735","國泰臺韓科技","101359","3121811","30.80","30.80","30.80","30.80","0.1500","31"
"00736","國泰新興市場","101039","2180475","21.58","21.58","21.58","21.58","-0.2000","41"
"00737","國泰AI+Robo","234178","6981186","30.00","30.00","29.78","29.78","-0.0300","120"
"00738U","期元大道瓊白銀","343582","8005279","23.37","23.38","23.22","23.24","0.0700","104"
"00739","元大MSCI A股","223075","5833153","26.67","26.67","25.95","26.18","-0.4000","124"
"00742","新光內需收益","56491","1264485","22.23","22.40","22.23","22.40","0.0900","40"
"00743","國泰中國A150","36446","1011590","28.05","28.05","27.61","27.61","-0.7900","35"
"00752","中信中國50","3318429","70451465","21.55","21.59","21.09","21.15","-0.4000","1428"
"00753L","中信中國50正2","2045250","41076878","20.60","20.60","19.83","19.99","-0.5900","982"
"00757","統一FANG+","3070718","138141588","45.22","45.22","44.90","44.90","-0.8200","3252"
"00762","元大全球AI","487106","18972221","39.21","39.21","38.85","38.86","-0.4400","389"
"00763U","期街口道瓊銅","79019","2269715","28.77","28.77","28.68","28.68","-0.0500","33"
