證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8224840","950304384","115.65","115.90","115.05","115.60","0.8000","8001"
"0051","元大中型100","19800","1024000","51.65","51.80","51.45","51.70","0.2500","153"
"0052","富邦科技","476139","47231524","99.50","99.55","98.75","99.10","0.4000","398"
"0053","元大電子","5596","307877","55.20","55.25","55.15","55.25","0.2000","1017"
"0055","元大MSCI金融","361462","7778899","21.35","21.62","21.32","21.61","0.3500","374"
"0056","元大高股息","12474781","315346276","25.22","25.33","25.22","25.30","0.2000","9740"
"0057","富邦摩台","3899","319647","82.35","82.35","82.10","82.10","0.5500","881"
"0061","元大寶滬深","101805","1799295","17.88","17.88","17.65","17.68","-0.0900","1020"
"006203","元大MSCI台灣","15092","837583","55.95","55.95","55.45","55.65","0.3000","923"
"006204","永豐臺灣加權","26029","1898689","72.90","73.20","72.90","73.00","0.5000","813"
"006205","富邦上証","404073","12104732","30.22","30.22","29.86","30.00","-0.0500","255"
"006206","元大上證50","9000","255680","28.34","28.50","28.34","28.36","-0.0300","9"
"006207","FH滬深","80000","1864080","23.24","23.36","23.24","23.36","-0.1900","14"
"006208","富邦台50","2282007","149083989","65.20","65.50","65.05","65.30","0.4500","2840"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","5872719","582252336","99.60","99.75","98.45","99.30","1.4500","1949"
"00632R","元大台灣50反1","131227204","756310573","5.75","5.79","5.75","5.77","-0.0400","7285"
"00633L","富邦上証正2","8718207","306646050","35.35","35.62","34.76","35.19","-0.1100","1861"
"00634R","富邦上証反1","302047","1459677","4.84","4.86","4.81","4.84","0.0000","33"
"00635U","期元大S&P黃金","190993","4315923","22.65","22.66","22.55","22.57","-0.1300","154"
"00636","國泰中國A50","294651","5821031","19.89","19.89","19.66","19.80","-0.0200","1088"
"00636K","國泰中國A50+U","200","1266","6.33","6.33","6.33","6.33","-0.0300","2"
"00637L","元大滬深300正2","58782136","812492308","13.92","13.99","13.67","13.82","-0.0500","7523"
"00638R","元大滬深300反1","135100","1388527","10.28","10.33","10.24","10.30","0.0100","41"
"00639","富邦深100","409565","4866519","12.15","12.15","11.84","11.92","-0.0900","821"
"00640L","富邦日本正2","238015","7244925","30.40","30.48","30.40","30.43","0.5300","84"
"00641R","富邦日本反1","317000","2970750","9.39","9.39","9.36","9.38","-0.0700","62"
"00642U","期元大S&P石油","2736285","47830934","17.48","17.54","17.41","17.45","0.1400","730"
"00643","群益深証中小","735050","10684080","14.59","14.62","14.39","14.53","-0.1100","122"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","201360","5418186","26.83","26.97","26.83","26.88","0.3000","1109"
"00646","元大S&P500","895784","34516024","38.43","38.58","38.41","38.56","0.5500","501"
"00647L","元大S&P500正2","209253","11477616","54.85","54.95","54.75","54.95","1.4000","115"
"00648R","元大S&P500反1","1605429","11746115","7.31","7.32","7.31","7.32","-0.0900","193"
"00650L","FH香港正2","10943815","121003442","11.26","11.26","10.93","11.16","0.0700","1389"
"00651R","FH香港反1","492000","4773130","9.66","9.78","9.65","9.68","-0.0500","87"
"00652","富邦印度","50430","1558202","30.80","30.97","30.80","30.82","0.0200","814"
"00653L","富邦印度正2","137030","6535480","48.13","48.13","47.42","47.43","0.2300","51"
"00654R","富邦印度反1","259000","2013860","7.81","7.81","7.73","7.80","-0.0500","60"
"00655L","國泰中國A50正2","2421020","60016701","24.95","25.11","24.51","24.81","-0.0900","512"
"00656R","國泰中國A50反1","220000","2012760","9.12","9.18","9.09","9.18","0.0700","35"
"00657","國泰日經225","32045","1064134","33.17","33.21","33.17","33.17","0.2100","4"
"00657K","國泰日經225+U","200","2128","10.64","10.64","10.64","10.64","0.0700","2"
"00660","元大歐洲50","122481","3534377","28.90","28.99","28.84","28.84","-0.0100","1018"
"00661","元大日經225","1000","35950","35.95","35.95","35.95","35.95","0.3700","1"
"00662","富邦NASDAQ","228014","10712862","46.90","47.04","46.90","47.04","0.6200","218"
"00663L","國泰臺灣加權正2","75000","6822000","91.10","91.20","90.60","91.00","1.4500","24"
"00664R","國泰臺灣加權反1","8909580","58179033","6.52","6.55","6.51","6.53","-0.0500","617"
"00665L","富邦恒生國企正2","18156388","127252848","7.12","7.14","6.91","7.10","0.0700","1868"
"00666R","富邦恒生國企反1","187000","3186580","16.90","17.10","16.89","16.99","-0.0200","40"
"00668","國泰美國道瓊","40563","1562198","38.64","38.64","38.48","38.61","0.5000","1003"
"00668K","國泰美國道瓊+U","200","2474","12.37","12.37","12.37","12.37","0.1400","2"
"00669R","國泰美國道瓊反1","26038300","204462420","7.84","7.87","7.84","7.87","-0.0900","2050"
"00670L","富邦NASDAQ正2","2468063","139670672","56.65","56.70","56.50","56.65","1.3000","795"
